Date,MH_Onion,WB_Potato,WB_Onion,Kolkata_Diesel
06-10-2024,3744.78,2419.93,4497.25,91.76
07-10-2024,3190.21,2416.3,4438.98,91.76
08-10-2024,3190.21,2416.19,4469.56,91.76
09-10-2024,3373.43,2422.5,4489.96,91.76
10-10-2024,3308.12,2419.62,4547.1,91.76
11-10-2024,3227.08,2409.89,4452.52,91.76
12-10-2024,3314.12,2410.17,4469.28,91.76
13-10-2024,3607.43,2409.59,4482.34,91.76
14-10-2024,3430.59,2405.85,4555.88,91.76
15-10-2024,3390.28,2414.77,4481.6,91.76
16-10-2024,3413.05,2421.45,4462.84,91.76
17-10-2024,3336.53,2421.35,4496.39,91.76
18-10-2024,3465.34,2411.45,4483.2,91.76
19-10-2024,3415.25,2409.07,4494.79,91.76
20-10-2024,3792.76,2409.82,4469.46,91.76
21-10-2024,3549.04,2411.66,4497.53,91.76
22-10-2024,3645.2,2411.19,4513.45,91.76
23-10-2024,3657.95,2399.23,4627.91,91.76
24-10-2024,3480.18,2416.7,4663.42,91.76
25-10-2024,3484.09,2412.72,4652.33,91.76
26-10-2024,3131.44,2421.25,4701.54,91.76
27-10-2024,3478.39,2434.16,4615.63,91.76
28-10-2024,3029.83,2441.94,4824.59,91.76
29-10-2024,2517.16,2484.86,4741.42,91.76
30-10-2024,3181.65,2497.11,4782.89,91.76
31-10-2024,3248.41,2471.03,4598.87,91.76
01-11-2024,3264.65,2462.59,4680.32,91.76
02-11-2024,3159.31,2482.26,4711.85,91.76
03-11-2024,2747.34,2479.78,4652.4,91.76
04-11-2024,3358.78,2472.36,4660.89,91.76
05-11-2024,3695.26,2489.09,4673.31,91.76
06-11-2024,3846.18,2485.17,4671.55,91.76
07-11-2024,4117.01,2493.41,4678.42,91.76
08-11-2024,3949.94,2509.96,4763.17,91.76
09-11-2024,3895,2494.87,4956.15,91.76
10-11-2024,4336.16,2514.95,5035.84,91.76
11-11-2024,3839.69,2518.44,5446.15,91.76
12-11-2024,3669.24,2531.16,5321.11,91.76
13-11-2024,3670.58,2509.55,5390.43,91.76
14-11-2024,3644.38,2532.9,5533.57,91.76
15-11-2024,3101.85,2528.87,4757.3,91.76
16-11-2024,3462.25,2539.63,5285.57,91.76
17-11-2024,4023.89,2537.06,5248.69,91.76
18-11-2024,3381.91,2529.79,5358.07,91.76
19-11-2024,3482.17,2550.39,5386.92,91.76
20-11-2024,2211.72,2559.09,5203.96,91.76
21-11-2024,3681.99,2556.58,5138.42,91.76
22-11-2024,3846.39,2550.25,4960.2,91.76
23-11-2024,3577.15,2555.67,4780.39,91.76
24-11-2024,4405.04,2560.87,4677.12,91.76
25-11-2024,3809.03,2550.6,4706.15,91.76
26-11-2024,3862.48,2575.76,4589.35,91.76
27-11-2024,3924.88,2556.92,4517.42,91.76
28-11-2024,3804.28,2555.41,4557.22,91.76
29-11-2024,3804.28,2535.64,4478.84,91.76
30-11-2024,3782.26,2533.12,4404.18,91.76
01-12-2024,3328.81,2725.15,4802.26,91.82
02-12-2024,3416.86,2534.69,4425.9,91.82
03-12-2024,3460.16,2558.29,4463.78,91.82
04-12-2024,3541.66,2571.91,4431.72,91.82
05-12-2024,3175.45,2564.48,4433.61,91.82
06-12-2024,3726.17,2593.67,4414.87,91.82
07-12-2024,3678.44,2623.19,4416.34,91.82
08-12-2024,4058.13,2572.68,4346.69,91.82
09-12-2024,3777.76,2591.95,4418.41,91.82
10-12-2024,3828.37,2564.17,4348.88,91.82
11-12-2024,3606.96,2548.19,4326.46,91.82
12-12-2024,3389.32,2561.53,4308.34,91.82
13-12-2024,3124.32,2549.3,4269.18,91.82
14-12-2024,2576.89,2522.79,4207.98,91.82
15-12-2024,3157.79,2519.11,4087.55,91.82
16-12-2024,2190.56,2497.64,4074.61,91.82
17-12-2024,2055.1,2483.89,4052.93,91.82
18-12-2024,1991.92,2474.75,3965.07,91.82
19-12-2024,1861.69,2580.2,3840.07,91.82
20-12-2024,1803.7,2492.86,3886.67,91.82
21-12-2024,1860.55,2410.85,3776.63,91.82
22-12-2024,2057.75,2388.31,3731.96,91.82
23-12-2024,1792.59,2363.58,3366.07,91.82
24-12-2024,1801.89,2322.74,3125.79,91.82
25-12-2024,2006.36,2262.89,3001.09,91.82
26-12-2024,1956.73,2244.28,2879.41,91.82
27-12-2024,2019.58,2198.36,2745.47,91.82
28-12-2024,2202.24,2129.34,2756.95,91.82
29-12-2024,2256.03,2124.84,2751.48,91.82
30-12-2024,2385.92,2074.17,2678.35,91.82
31-12-2024,2370.99,2100.2,2837.16,91.82
01-01-2025,2320.13,2110.49,2873.5,91.82
02-01-2025,2278.81,2089.2,2902.65,91.82
03-01-2025,2186.95,2059.09,2803.49,91.82
04-01-2025,2307.74,2022.84,2896.13,91.82
05-01-2025,2502.83,2063.8,2797.78,91.82
06-01-2025,2225.72,1996.33,2924.3,91.82
07-01-2025,2210.5,1961.24,2960.05,91.82
08-01-2025,2135.72,1957.44,2927.8,91.82
09-01-2025,1997.8,1918.03,2903.79,91.82
10-01-2025,1797.12,1901.59,2918.71,91.82
11-01-2025,1636.91,1871.9,2919.49,91.82
12-01-2025,1802.65,1842.6,2933.96,91.82
13-01-2025,1775.4,1839.12,2903.4,91.82
14-01-2025,1926.19,1790.88,2780.92,91.82
15-01-2025,1924.92,1719.06,2738.54,91.82
16-01-2025,1822.13,1599.19,2754.89,91.82
17-01-2025,1931.51,1527.48,2747.86,91.82
18-01-2025,2031.07,1496.98,2751.32,91.82
19-01-2025,2269.88,1463.89,2715.73,91.82
20-01-2025,2186.14,1443.29,2769.53,91.82
21-01-2025,2162,1374.2,2768.26,91.82
22-01-2025,2142.25,1345.93,2770.84,91.82
23-01-2025,2195.18,1236.78,2758.26,91.82
24-01-2025,2179.96,1266.91,2812.01,91.82
25-01-2025,2230.04,1240.17,2830.1,91.82
26-01-2025,1973.81,1236.41,2847.57,91.82
27-01-2025,2066,1190.16,2896.9,91.82
28-01-2025,2051.97,1232.66,2882.2,91.82
29-01-2025,1962.9,1202.22,2802.57,91.82
30-01-2025,1944.62,1195.39,2865.71,91.82
31-01-2025,1952.82,1183.5,2810.41,91.82
01-02-2025,1905.39,1256.67,2806.59,91.82
02-02-2025,2050.48,1162.47,2816.94,91.82
03-02-2025,1954.97,1156.92,2820.09,91.82
04-02-2025,1996.27,1173.13,2759.47,91.82
05-02-2025,2088.43,1112.18,2768.68,91.82
06-02-2025,2041.77,1092.32,2745.61,91.82
07-02-2025,2098.44,1062.08,2703.47,91.82
08-02-2025,2207.16,1046.97,2687.39,91.82
09-02-2025,2068.19,1040.06,2589.09,91.82
10-02-2025,2302.62,1032.32,2634.18,91.82
11-02-2025,2269.16,1121.5,2798.99,91.82
12-02-2025,2450.64,1021.56,2702.61,91.82
13-02-2025,2534.53,995.91,2867.13,91.82
14-02-2025,2624.71,1002.78,2771.55,91.82
15-02-2025,2563.69,1001.79,2951.81,91.82
16-02-2025,2594.83,1001.48,2859.96,91.82
17-02-2025,2452.74,956.38,2982.7,91.82
18-02-2025,2391.98,947.48,3053.35,91.82
19-02-2025,2157.58,933.4,3020.11,91.82
20-02-2025,2001.75,916.42,2825.01,91.82
21-02-2025,2034.87,915.3,2885.77,91.82
22-02-2025,2033.71,909.33,2804.33,91.82
23-02-2025,2008.57,917.26,2832.48,91.82
24-02-2025,2084.99,904.01,2906.99,91.82
25-02-2025,2055.44,914.34,2775.22,91.82
26-02-2025,1996.83,909.54,2763.55,91.82
27-02-2025,1995.48,918.5,2712.31,91.82
28-02-2025,2022.9,929.18,2741.01,91.82
01-03-2025,1982.17,918.72,2721.29,91.82
02-03-2025,2082.27,955.69,2714.28,91.82
03-03-2025,1968.88,955.3,2713.56,91.82
04-03-2025,2032.52,974.76,2682.39,91.82
05-03-2025,1978.79,990.94,2729.2,91.82
06-03-2025,1856.94,974.14,2652.82,91.82
07-03-2025,1865.01,995.45,2620.04,91.82
08-03-2025,1616.15,987.92,2470.98,91.82
09-03-2025,1569.03,980.78,2536.36,91.82
10-03-2025,1360.72,991.27,2551.8,91.82
11-03-2025,1308.32,986.14,2481.37,91.82
12-03-2025,1291.76,1003.36,2503.62,91.82
13-03-2025,1336.56,991.37,2513.76,91.82
14-03-2025,1254.34,1011.14,2457.53,91.82
15-03-2025,1373.47,998.62,2314.15,91.82
16-03-2025,1465.82,1008.12,2422.2,91.82
17-03-2025,1352.13,1018.77,2373.37,91.82
18-03-2025,1376.76,1008.83,2267.59,91.82
19-03-2025,1333.6,1036.56,2270.44,91.82
20-03-2025,1307.43,1032.31,2303.38,91.82
21-03-2025,1248.63,1033.38,2244.77,91.82
22-03-2025,1252.4,1042.02,2237.37,91.82
23-03-2025,1364.41,1025.68,2225.41,91.82
24-03-2025,1322.78,1020.66,2074.55,91.82
25-03-2025,1391.63,1031.11,2131.89,91.82
26-03-2025,1373.88,1028.01,2093.44,91.82
27-03-2025,1294.55,1102.36,2062.23,91.82
28-03-2025,1230.81,1027.08,2029.92,91.82
29-03-2025,1218.91,1010.06,2040.24,91.82
30-03-2025,1298.18,1017.92,1971.17,91.82
31-03-2025,1253.89,997.55,2003.33,91.82
01-04-2025,1292.29,1029.03,2046.8,91.82
02-04-2025,1205.69,1050.23,1997.83,91.82
03-04-2025,1199.74,1050.66,2048.99,91.82
04-04-2025,1185.64,1079.33,2002.25,91.82
05-04-2025,1189.78,1095.48,2006.41,91.82
06-04-2025,1201.52,1092.37,2024.82,91.82
