All Type of Report (All Grades) for 01-Apr-2024 to 31-Mar-2026,,,,,,,,,,
State,Commodity Group,Commodity,Date,MSP,Arrival Quantity 01-04-2024 to 31-03-2026,Arrival Unit,Min Price 01-04-2024 to 31-03-2026,Modal Price,Max Price 01-04-2024 to 31-03-2026,Price Unit
Maharashtra,Vegetables,Potato,11-05-2024,-,"1,830.00",Metric Tonnes,"1,626.89","1,991.36","2,355.17",Rs./Quintal
Maharashtra,Vegetables,Onion,12-05-2024,-,"5,266.40",Metric Tonnes,641.35,"1,334.37","1,929.40",Rs./Quintal
Maharashtra,Vegetables,Potato,12-05-2024,-,"1,307.10",Metric Tonnes,"1,975.21","2,304.59","2,634.14",Rs./Quintal
Maharashtra,Vegetables,Onion,13-05-2024,-,"15,515.39",Metric Tonnes,661.37,"1,538.40","2,004.52",Rs./Quintal
Maharashtra,Vegetables,Potato,13-05-2024,-,"1,897.30",Metric Tonnes,"1,654.51","1,967.38","2,292.06",Rs./Quintal
Maharashtra,Vegetables,Onion,14-05-2024,-,"16,235.60",Metric Tonnes,571.7,"1,389.49","1,932.92",Rs./Quintal
Maharashtra,Vegetables,Potato,14-05-2024,-,"2,981.80",Metric Tonnes,"1,747.02","2,111.66","2,428.75",Rs./Quintal
Maharashtra,Vegetables,Onion,15-05-2024,-,"20,949.43",Metric Tonnes,553.19,"1,392.16","1,947.65",Rs./Quintal
Maharashtra,Vegetables,Potato,15-05-2024,-,"2,545.20",Metric Tonnes,"1,772.35","2,099.48","2,398.03",Rs./Quintal
Maharashtra,Vegetables,Onion,16-05-2024,-,"28,520.27",Metric Tonnes,511.49,"1,357.60","1,825.08",Rs./Quintal
Maharashtra,Vegetables,Potato,16-05-2024,-,"1,800.30",Metric Tonnes,"1,718.21","2,064.68","2,392.98",Rs./Quintal
Maharashtra,Vegetables,Onion,17-05-2024,-,"24,231.46",Metric Tonnes,478.13,"1,430.49","2,034.42",Rs./Quintal
Maharashtra,Vegetables,Potato,17-05-2024,-,"2,180.00",Metric Tonnes,"1,705.42","2,042.62","2,355.35",Rs./Quintal
Maharashtra,Vegetables,Onion,18-05-2024,-,"20,874.13",Metric Tonnes,539.52,"1,386.95","1,949.49",Rs./Quintal
Maharashtra,Vegetables,Potato,18-05-2024,-,926.4,Metric Tonnes,"1,756.38","2,117.75","2,377.12",Rs./Quintal
Maharashtra,Vegetables,Onion,19-05-2024,-,"8,871.67",Metric Tonnes,637.59,"1,362.08","2,025.07",Rs./Quintal
Maharashtra,Vegetables,Potato,19-05-2024,-,"1,377.30",Metric Tonnes,"1,935.61","2,229.76","2,533.55",Rs./Quintal
Maharashtra,Vegetables,Onion,20-05-2024,-,"10,759.00",Metric Tonnes,358.02,"1,259.38","2,099.34",Rs./Quintal
Maharashtra,Vegetables,Potato,20-05-2024,-,"1,473.50",Metric Tonnes,"1,739.13","2,115.70","2,448.48",Rs./Quintal
Maharashtra,Vegetables,Onion,21-05-2024,-,"22,491.28",Metric Tonnes,537.34,"1,426.59","1,992.30",Rs./Quintal
Maharashtra,Vegetables,Potato,21-05-2024,-,"2,557.10",Metric Tonnes,"1,692.56","2,004.36","2,304.51",Rs./Quintal
Maharashtra,Vegetables,Onion,22-05-2024,-,"19,521.46",Metric Tonnes,478.05,"1,448.87","2,085.19",Rs./Quintal
Maharashtra,Vegetables,Potato,22-05-2024,-,"2,316.30",Metric Tonnes,"1,801.64","2,168.56","2,466.54",Rs./Quintal
Maharashtra,Vegetables,Onion,23-05-2024,-,"19,311.70",Metric Tonnes,621.03,"1,491.02","1,952.06",Rs./Quintal
Maharashtra,Vegetables,Potato,23-05-2024,-,"1,944.20",Metric Tonnes,"1,783.82","2,112.62","2,437.14",Rs./Quintal
Maharashtra,Vegetables,Onion,24-05-2024,-,"19,148.62",Metric Tonnes,514.27,"1,468.62","2,109.25",Rs./Quintal
Maharashtra,Vegetables,Potato,24-05-2024,-,"2,483.10",Metric Tonnes,"1,746.88","2,123.23","2,376.94",Rs./Quintal
Maharashtra,Vegetables,Onion,25-05-2024,-,"21,390.87",Metric Tonnes,553.5,"1,444.44","1,989.17",Rs./Quintal
Maharashtra,Vegetables,Potato,25-05-2024,-,"2,157.40",Metric Tonnes,"1,678.81","2,007.09","2,307.66",Rs./Quintal
Maharashtra,Vegetables,Onion,26-05-2024,-,"5,525.00",Metric Tonnes,684.67,"1,466.22","2,125.04",Rs./Quintal
Maharashtra,Vegetables,Potato,26-05-2024,-,"1,209.80",Metric Tonnes,"1,921.52","2,238.02","2,546.39",Rs./Quintal
Maharashtra,Vegetables,Onion,27-05-2024,-,"22,804.94",Metric Tonnes,559.28,"1,538.90","2,095.55",Rs./Quintal
Maharashtra,Vegetables,Potato,27-05-2024,-,"2,357.00",Metric Tonnes,"1,796.19","2,100.19","3,459.99",Rs./Quintal
Maharashtra,Vegetables,Onion,28-05-2024,-,"14,353.71",Metric Tonnes,627.2,"1,755.77","2,282.95",Rs./Quintal
Maharashtra,Vegetables,Potato,28-05-2024,-,"1,397.30",Metric Tonnes,"1,715.02","2,073.11","2,384.96",Rs./Quintal
Maharashtra,Vegetables,Onion,29-05-2024,-,"18,569.11",Metric Tonnes,686.83,"1,775.80","2,393.12",Rs./Quintal
Maharashtra,Vegetables,Potato,29-05-2024,-,"2,285.20",Metric Tonnes,"1,798.30","2,161.62","2,461.99",Rs./Quintal
Maharashtra,Vegetables,Onion,30-05-2024,-,"17,333.44",Metric Tonnes,650.11,"1,843.55","2,426.97",Rs./Quintal
Maharashtra,Vegetables,Potato,30-05-2024,-,"1,933.90",Metric Tonnes,"1,799.54","2,146.42","2,455.77",Rs./Quintal
Maharashtra,Vegetables,Onion,31-05-2024,-,"20,999.32",Metric Tonnes,600.94,"1,809.10","2,459.05",Rs./Quintal
Maharashtra,Vegetables,Potato,31-05-2024,-,"1,911.70",Metric Tonnes,"1,877.76","2,207.66","2,545.19",Rs./Quintal
Maharashtra,Vegetables,Onion,01-06-2024,-,"24,617.85",Metric Tonnes,681.71,"1,743.22","2,383.10",Rs./Quintal
Maharashtra,Vegetables,Potato,01-06-2024,-,"1,897.00",Metric Tonnes,"1,783.28","2,106.74","2,412.43",Rs./Quintal
Maharashtra,Vegetables,Onion,02-06-2024,-,"4,778.50",Metric Tonnes,942.6,"1,775.45","2,519.75",Rs./Quintal
Maharashtra,Vegetables,Potato,02-06-2024,-,"1,462.50",Metric Tonnes,"1,966.58","2,303.51","2,643.67",Rs./Quintal
Maharashtra,Vegetables,Onion,03-06-2024,-,"29,219.16",Metric Tonnes,677.55,"1,800.06","2,350.84",Rs./Quintal
Maharashtra,Vegetables,Potato,03-06-2024,-,"3,032.90",Metric Tonnes,"1,915.20","2,239.06","2,543.74",Rs./Quintal
Maharashtra,Vegetables,Onion,04-06-2024,-,"12,976.72",Metric Tonnes,797.15,"1,893.00","2,437.85",Rs./Quintal
Maharashtra,Vegetables,Potato,04-06-2024,-,"2,056.40",Metric Tonnes,"1,985.71","2,309.07","2,629.26",Rs./Quintal
Maharashtra,Vegetables,Onion,05-06-2024,-,"17,129.01",Metric Tonnes,806.36,"1,953.99","2,534.01",Rs./Quintal
Maharashtra,Vegetables,Potato,05-06-2024,-,"3,558.40",Metric Tonnes,"1,925.71","2,313.77","2,627.12",Rs./Quintal
Maharashtra,Vegetables,Onion,06-06-2024,-,"21,442.27",Metric Tonnes,822.73,"2,114.36","2,613.27",Rs./Quintal
Maharashtra,Vegetables,Potato,06-06-2024,-,"2,122.80",Metric Tonnes,"1,874.35","2,209.57","2,507.44",Rs./Quintal
Maharashtra,Vegetables,Onion,07-06-2024,-,"22,543.36",Metric Tonnes,801.51,"2,213.95","2,746.93",Rs./Quintal
Maharashtra,Vegetables,Potato,07-06-2024,-,"2,476.60",Metric Tonnes,"1,852.50","2,230.70","2,610.41",Rs./Quintal
Maharashtra,Vegetables,Onion,08-06-2024,-,"20,516.78",Metric Tonnes,"1,016.63","2,369.17","2,951.60",Rs./Quintal
Maharashtra,Vegetables,Potato,08-06-2024,-,"1,019.20",Metric Tonnes,"1,871.30","2,226.76","2,509.76",Rs./Quintal
Maharashtra,Vegetables,Onion,09-06-2024,-,"8,472.20",Metric Tonnes,953.82,"2,264.21","3,302.08",Rs./Quintal
Maharashtra,Vegetables,Potato,09-06-2024,-,"1,449.00",Metric Tonnes,"1,909.14","2,273.95","2,620.28",Rs./Quintal
Maharashtra,Vegetables,Onion,10-06-2024,-,"34,609.84",Metric Tonnes,924.51,"2,395.85","3,048.10",Rs./Quintal
Maharashtra,Vegetables,Potato,10-06-2024,-,"2,866.50",Metric Tonnes,"1,962.06","2,313.22","2,627.47",Rs./Quintal
Maharashtra,Vegetables,Onion,11-06-2024,-,"30,477.72",Metric Tonnes,"1,036.14","2,316.26","2,865.36",Rs./Quintal
Maharashtra,Vegetables,Potato,11-06-2024,-,"2,237.70",Metric Tonnes,"1,907.31","2,259.36","2,582.24",Rs./Quintal
Maharashtra,Vegetables,Onion,12-06-2024,-,"20,701.61",Metric Tonnes,836.22,"2,231.11","2,783.20",Rs./Quintal
Maharashtra,Vegetables,Potato,12-06-2024,-,"1,401.60",Metric Tonnes,"1,931.88","2,299.24","2,602.07",Rs./Quintal
Maharashtra,Vegetables,Onion,13-06-2024,-,"16,977.16",Metric Tonnes,"1,024.30","2,245.45","2,839.23",Rs./Quintal
Maharashtra,Vegetables,Potato,13-06-2024,-,"1,878.10",Metric Tonnes,"1,926.59","2,265.46","2,615.51",Rs./Quintal
Maharashtra,Vegetables,Onion,14-06-2024,-,"15,135.98",Metric Tonnes,817.16,"2,360.64","2,913.95",Rs./Quintal
Maharashtra,Vegetables,Potato,14-06-2024,-,"1,134.80",Metric Tonnes,"1,937.30","2,320.60","2,703.03",Rs./Quintal
